# flux	err(erg/s/cm2/AA)
5.652019246456431315e-17	6.400583735812207288e-19
5.042408310828531276e-17	4.659517148803210144e-19
4.879447443582929421e-17	1.138184356337268922e-19
5.621401652391148527e-17	2.490480730005388898e-19
3.519148264494985367e-17	1.367393460507201647e-19
