# flux	err(erg/s/cm2/AA)
4.373448952960074616e-16	8.212744972597717001e-19
4.125567143226267774e-16	6.474024268611324448e-19
5.234378799203061837e-16	2.588819477967808600e-19
5.608056913004953042e-16	4.503404833230627214e-19
4.220825527265670458e-16	2.714023410682104108e-19
